Company;Age;Race;limit;deductible;rate;Premium
1;4;australian sheperd;1100;0;60%;234.33
1;4;australian sheperd;1500;20;70%;305.05
1;4;australian sheperd;1800;30;80%;383.66
1;4;australian sheperd;2200;50;90%;593.83
1;4;australian sheperd;2500;75;100%;768.03
2;4;australian sheperd;1000;0;50%;184.4
2;4;australian sheperd;1000;0;70%;275.23
2;4;australian sheperd;1500;0;80%;421.1
3;4;australian sheperd;1000;150;80%;164.81
3;4;australian sheperd;1500;75;80%;292.83
3;4;australian sheperd;2000;0;80%;463.63
4;4;australian sheperd;1300;0;60%;201.41
4;4;australian sheperd;1800;0;60%;406.18
4;4;australian sheperd;2500;0;60%;660.5
4;4;australian sheperd;1300;0;80%;339.58
4;4;australian sheperd;1800;0;80%;521.78
4;4;australian sheperd;2500;0;80%;666.55
4;4;australian sheperd;1300;0;100%;627.08
4;4;australian sheperd;1800;0;100%;861.57
4;4;australian sheperd;2500;0;100%;1091.66
5;4;australian sheperd;1000;0;60%;188.26
5;4;australian sheperd;1200;0;70%;269.27
5;4;australian sheperd;1500;0;80%;392.29
6;4;australian sheperd;1000;0;50%;181.76
6;4;australian sheperd;1500;0;50%;221.17
6;4;australian sheperd;2000;0;50%;259.27
6;4;australian sheperd;1000;0;60%;210.28
6;4;australian sheperd;1500;0;60%;257.72
6;4;australian sheperd;2000;0;60%;304.73
6;4;australian sheperd;1000;0;70%;236.15
6;4;australian sheperd;1500;0;70%;291.52
6;4;australian sheperd;2000;0;70%;346.79
6;4;australian sheperd;2000;0;80%;354.17
6;4;australian sheperd;2500;0;80%;371.12
6;4;australian sheperd;3000;0;80%;396.55
6;4;australian sheperd;2000;0;90%;387.08
6;4;australian sheperd;2500;0;90%;408.22
6;4;australian sheperd;3000;0;90%;439.27
6;4;australian sheperd;2000;0;100%;625.54
6;4;australian sheperd;2500;0;100%;663.74
6;4;australian sheperd;3000;0;100%;718.35
7;4;australian sheperd;1500;80;75%;201.14
7;4;australian sheperd;3000;100;75%;203.12
7;4;australian sheperd;6000;100;75%;241.1
7;4;australian sheperd;3000;100;85%;219.08
7;4;australian sheperd;6000;100;85%;260.15
7;4;australian sheperd;3000;140;75%;182.97
7;4;australian sheperd;6000;140;75%;216.88
7;4;australian sheperd;3000;140;85%;197.17
7;4;australian sheperd;6000;140;85%;233.94
7;4;australian sheperd;3000;60;75%;241.1
7;4;australian sheperd;6000;60;75%;286.68
7;4;australian sheperd;3000;60;85%;260.15
7;4;australian sheperd;6000;60;85%;309.58
8;4;australian sheperd;1000;0;50%;101.83
8;4;australian sheperd;1000;0;60%;120
8;4;australian sheperd;1000;0;70%;138.17
8;4;australian sheperd;1000;0;80%;174.5
8;4;australian sheperd;1000;0;100%;247.16
8;4;australian sheperd;1200;0;50%;110.86
8;4;australian sheperd;1200;0;60%;130.9
8;4;australian sheperd;1200;0;70%;150.83
8;4;australian sheperd;1200;0;80%;190.79
8;4;australian sheperd;1200;0;100%;270.72
8;4;australian sheperd;1500;0;50%;124.51
8;4;australian sheperd;1500;0;60%;147.19
8;4;australian sheperd;1500;0;70%;169.98
8;4;australian sheperd;1500;0;80%;215.34
8;4;australian sheperd;1500;0;100%;306.17
8;4;australian sheperd;2000;0;50%;147.19
8;4;australian sheperd;2000;0;60%;174.5
8;4;australian sheperd;2000;0;70%;201.69
8;4;australian sheperd;2000;0;80%;256.18
8;4;australian sheperd;2000;0;100%;365.17
9;4;australian sheperd;1200;0;60%;276.22
9;4;australian sheperd;1200;0;75%;331.49
9;4;australian sheperd;1200;0;90%;414.39
9;4;australian sheperd;1600;0;60%;331.49
9;4;australian sheperd;1600;0;75%;359.12
9;4;australian sheperd;1600;0;90%;497.17
9;4;australian sheperd;2000;0;60%;414.39
9;4;australian sheperd;1600;0;75%;442.02
9;4;australian sheperd;1600;0;90%;580.07
9;4;australian sheperd;2400;0;60%;497.17
9;4;australian sheperd;2400;0;75%;524.81
9;4;australian sheperd;2400;0;90%;662.97
