specie;breed;gender;birthdate;insurance_carrier;r;l;d;commercialPremium
dog;australian sheperd;female;01/01/2024;1;0.6;1100;0;216.385321100917
dog;australian sheperd;female;01/01/2024;1;0.7;1500;20;290.623853211009
dog;australian sheperd;female;01/01/2024;1;0.8;1800;30;361.52752293578
dog;australian sheperd;female;01/01/2024;1;1;2500;75;739.266055045871
dog;australian sheperd;female;01/01/2024;1;0.9;2200;50;594.275229357798
dog;australian sheperd;female;02/05/2020;1;0.6;1100;0;234.330275229358
dog;australian sheperd;female;02/05/2020;1;0.7;1500;20;312.752293577982
dog;australian sheperd;female;02/05/2020;1;0.8;1800;30;393.123853211009
dog;australian sheperd;female;02/05/2020;1;1;2500;75;753.02752293578
dog;australian sheperd;female;02/05/2020;1;0.9;2200;50;607.376146788991
dog;australian sheperd;female;02/05/2022;1;0.6;1100;0;221.339449541284
dog;australian sheperd;female;02/05/2022;1;0.7;1500;20;290.623853211009
dog;australian sheperd;female;02/05/2022;1;0.8;1800;30;361.52752293578
dog;australian sheperd;female;02/05/2022;1;1;2500;75;739.266055045871
dog;australian sheperd;female;02/05/2022;1;0.9;2200;50;594.275229357798
dog;australian sheperd;female;02/05/2018;1;0.6;1100;0;354.440366972477
dog;australian sheperd;female;02/05/2018;1;0.7;1500;20;447.394495412844
dog;australian sheperd;female;02/05/2018;1;0.8;1800;30;574.885321100917
dog;german sheperd;female;01/01/2024;1;0.6;1100;0;327.02752293578
dog;german sheperd;female;01/01/2024;1;0.7;1500;20;427.137614678899
dog;german sheperd;female;01/01/2024;1;0.8;1800;30;531.729357798165
dog;german sheperd;female;01/01/2024;1;0.9;2200;50;824.036697247706
dog;german sheperd;female;01/01/2024;1;1;2500;75;1004.25688073394
dog;german sheperd;female;01/05/2020;1;0.6;1100;0;334.623853211009
dog;german sheperd;female;01/05/2020;1;0.7;1500;20;433.633027522936
dog;german sheperd;female;01/05/2020;1;0.8;1800;30;539.876146788991
dog;german sheperd;female;01/05/2020;1;0.9;2200;50;841.54128440367
dog;german sheperd;female;01/05/2020;1;1;2500;75;1023.30275229358
dog;german sheperd;female;01/05/2018;1;0.6;1100;0;526.844036697248
dog;german sheperd;female;01/05/2018;1;0.7;1500;20;634.770642201835
dog;german sheperd;female;01/05/2018;1;0.8;1800;30;814.55504587156
dog;golden-retriever;female;01/01/2024;1;0.6;1100;0;267.908256880734
dog;golden-retriever;female;01/01/2024;1;0.7;1500;20;348.862385321101
dog;golden-retriever;female;01/01/2024;1;0.8;1800;30;431.98623853211
dog;golden-retriever;female;01/01/2024;1;0.9;2200;50;594.275229357798
dog;golden-retriever;female;01/01/2024;1;1;2500;75;849.357798165137
dog;golden-retriever;female;01/05/2020;1;0.6;1100;0;280.238532110092
dog;golden-retriever;female;01/05/2020;1;0.7;1500;20;359.321100917431
dog;golden-retriever;female;01/05/2020;1;0.8;1800;30;449.490825688073
dog;golden-retriever;female;01/05/2020;1;0.9;2200;50;638.752293577982
dog;golden-retriever;female;01/05/2020;1;1;2500;75;899.669724770642
