"","model","method","parm_names","parm_values","eps","ss"
"1","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.441342986549384,25.1563618458552,25
"2","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.68396037939543,25.1563618458552,25
"3","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,25.1563618458552,25
"4","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.6425,25.1563618458552,25
"5","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.55366134597383,25.1563618458552,25
"6","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.4305,25.1563618458552,25
"7","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",478.019022420929,25.1563618458552,25
"8","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",213.353942704545,25.1563618458552,25
"9","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.530935976676998,25.1563618458552,25
"10","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.44637397157712,25.1563618458552,25
"11","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,25.1563618458552,25
"12","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.5876,25.1563618458552,25
"13","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.519984624194274,25.1563618458552,25
"14","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.5338,25.1563618458552,25
"15","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",384.168927759118,25.1563618458552,25
"16","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",205.096299083117,25.1563618458552,25
"17","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.367235567785737,33.4962747669463,50
"18","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.83899075725801,33.4962747669463,50
"19","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,33.4962747669463,50
"20","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.6902,33.4962747669463,50
"21","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.533016931507074,33.4962747669463,50
"22","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.3675,33.4962747669463,50
"23","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",564.69116067891,33.4962747669463,50
"24","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",203.216571144184,33.4962747669463,50
"25","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.425330195879778,33.4962747669463,50
"26","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.7005981844181,33.4962747669463,50
"27","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,33.4962747669463,50
"28","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.6508,33.4962747669463,50
"29","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.564876637253204,33.4962747669463,50
"30","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.4328,33.4962747669463,50
"31","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",496.391682468908,33.4962747669463,50
"32","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",217.036349949246,33.4962747669463,50
"33","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.346146502754063,35.3736846236416,100
"34","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.89717529012535,35.3736846236416,100
"35","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,35.3736846236416,100
"36","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.696,35.3736846236416,100
"37","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.568907504720257,35.3736846236416,100
"38","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.3485,35.3736846236416,100
"39","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",605.527265238185,35.3736846236416,100
"40","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",216.243729055718,35.3736846236416,100
"41","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.289458090461984,35.3736846236416,100
"42","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",6.08566559930639,35.3736846236416,100
"43","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,35.3736846236416,100
"44","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.7553,35.3736846236416,100
"45","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.540226102226155,35.3736846236416,100
"46","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.2846,35.3736846236416,100
"47","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",719.879502080733,35.3736846236416,100
"48","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",203.544824447674,35.3736846236416,100
"49","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.32484422781199,35.8003268166155,200
"50","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.95483229428708,35.8003268166155,200
"51","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,35.8003268166155,200
"52","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.7206,35.8003268166155,200
"53","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.531262444643369,35.8003268166155,200
"54","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.3168,35.8003268166155,200
"55","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",628.425560434521,35.8003268166155,200
"56","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",203.345528414187,35.8003268166155,200
"57","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.29488390857785,35.8003268166155,200
"58","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",6.0458031644414,35.8003268166155,200
"59","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,35.8003268166155,200
"60","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.7523,35.8003268166155,200
"61","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.524346631418775,35.8003268166155,200
"62","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.2955,35.8003268166155,200
"63","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",698.838057079099,35.8003268166155,200
